month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2004-05,Georgia,2542,NA,4748,5282,NA,180,88,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12840
2004-05,Guam,0,NA,6,12,NA,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
2004-05,Hawaii,546,NA,0,0,NA,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,546
2004-05,Idaho,987,NA,1025,2599,NA,80,0,4,1,NA,218,597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5511
2004-05,Illinois,26440,NA,3960,5238,NA,176,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35814
2004-05,Indiana,0,NA,4384,4961,NA,128,0,1,4,NA,2,392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9872
2004-05,Iowa,2933,NA,18,1706,NA,1,20,0,4,NA,2,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4809
2004-05,Kansas,0,NA,1494,2750,NA,121,0,2,2,NA,219,407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4995
2004-05,Kentucky,0,NA,4460,5243,NA,319,0,10,18,NA,901,1434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12385
2004-05,Louisiana,0,NA,3506,3521,NA,185,0,1,5,NA,674,901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8793
2004-05,Maine,0,NA,930,1746,NA,97,0,13,40,NA,29,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2979
2004-05,Mariana Islands,0,NA,0,0,NA,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2004-05,Maryland,1687,NA,64,2223,NA,8,0,2,2,NA,30,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4098
2004-05,Massachusetts,3366,NA,1508,1018,NA,43,1831,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7766
2004-05,Michigan,10403,NA,2797,9153,NA,61,0,0,19,NA,0,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22636
2004-05,Minnesota,4193,NA,3267,6544,NA,108,0,1,2,NA,69,454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14638
2004-05,Mississippi,0,NA,2816,3030,NA,186,0,48,81,NA,760,1183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8104
2004-05,Missouri,0,NA,3406,6650,NA,107,0,1,11,NA,168,1093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11436
2004-05,Montana,449,NA,1352,3197,NA,126,3,2,20,NA,285,815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6249
2004-05,Nebraska,1055,NA,12,1382,NA,2,0,0,3,NA,0,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2540
2004-05,Nevada,0,NA,1840,1956,NA,100,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3896
2004-05,New Hampshire,1262,NA,989,1530,NA,15,0,0,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3797
2004-05,New Jersey,0,NA,1235,1207,NA,40,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2482
2004-05,New Mexico,0,NA,1852,2245,NA,121,0,3,2,NA,362,679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5264
2004-05,New York,2099,NA,763,5709,NA,5,261,93,0,NA,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8938
2004-05,North Carolina,6490,NA,137,6345,NA,89,0,21,35,NA,900,1505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15522
2004-05,North Dakota,233,NA,355,1478,NA,18,0,0,2,NA,25,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2256
2004-05,Ohio,0,NA,9791,9052,NA,389,0,12,63,NA,449,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20476
2004-05,Oklahoma,0,NA,3422,4344,NA,250,0,9,16,NA,732,1451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10224
2004-05,Oregon,28,NA,3575,6712,NA,257,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10572
2004-05,Pennsylvania,446,NA,0,31552,NA,283,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32281
2004-05,Puerto Rico,0,NA,399,98,NA,18,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515
2004-05,Rhode Island,0,NA,373,277,NA,71,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,721
2004-05,South Carolina,726,NA,2688,2486,NA,78,0,4,3,NA,380,518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6883
2004-05,South Dakota,0,NA,611,1955,NA,38,0,0,2,NA,66,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2884
2004-05,Tennessee,1025,NA,5884,5557,NA,215,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12681
2004-05,Texas,7047,NA,11154,15906,NA,815,0,34,36,NA,2645,4260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41897
2004-05,Utah,1100,NA,1371,2643,NA,70,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5184
